index,osmid_original,y,x,lon,lat,street_count
3219,151481568,3319897.7565738596,586233.923815335,-98.105855,30.007002,3
3220,151481579,3319943.8313078578,586145.2138972923,-98.106771,30.007424,3
3221,151526018,3319865.1978948424,586251.0572139005,-98.10568,30.006707,3
3222,151481584,3319961.7185098887,586108.3261719564,-98.107152,30.007588,3
3223,151510074,3319796.306953702,586156.7811476599,-98.106663,30.006092,3
3224,151481598,3320030.001727674,585911.2258661557,-98.10919,30.008218,3
3225,151481689,3319857.6214565714,585597.4740205174,-98.1124568,30.0066845,3
3226,151527885,3319783.300107477,585574.0136092312,-98.112706,30.0060155,3
3227,151481730,3320132.9251860185,607813.1395718413,-97.882112,30.007414,3
3228,151481750,3320105.859600322,607935.6175148156,-97.880845,30.007159,3
3229,151598672,3320195.0198067967,607748.0704534517,-97.8827803,30.00798,3
3230,151505490,3320167.7296598107,607995.1068227078,-97.880222,30.007712,3
3231,151532052,3336127.652905913,592483.4841075568,-98.039648,30.152992,3
3232,151482654,3308162.0788067696,601041.1457925356,-97.953451,29.8999767,3
3233,151526466,3308163.528492141,600965.4292371266,-97.954235,29.899996,3
3234,151496677,3308558.801359221,600993.9278116039,-97.9539026,29.9035603,3
3235,151551950,3308614.7235278557,601744.6871887775,-97.946122,29.904003,3
3236,151483361,3336838.519381754,589490.6572639071,-98.070662,30.15963,3
3237,151483432,3337149.479821957,589841.5549064288,-98.066992,30.16241,3
3238,151483458,3336777.649574483,589745.4018306552,-98.068022,30.159062,3
3239,7113611680,3336832.633674056,589295.8788306335,-98.072685,30.1595912,3
3240,151507928,3335952.3243119703,590258.3707169399,-98.062766,30.151577,3
3241,151483487,3339241.515721061,603131.6607042938,-97.9287885,30.1802322,3
3242,152516429,3339844.6105733383,603111.5002822297,-97.928939,30.1856755,3
3243,151483863,3318211.9001727616,613814.9999325912,-97.820096,29.989538,3
3244,151523723,3318269.95190768,613454.6850145665,-97.8238245,29.9900952,3
3245,151490474,3340002.7268388714,600110.4281625822,-97.960093,30.187353,3
3246,151484070,3309645.573913737,608689.9625677154,-97.874089,29.91271,3
3247,1371566148,3319313.2931038174,607413.1632902442,-97.8863412,30.0000537,3
3248,151554577,3318768.9058986935,607592.6031405776,-97.884536,29.995126,3
3249,151484139,3319328.6685819775,607793.6874660047,-97.882395,30.000159,3
3250,151513798,3319332.4305214956,607660.0262184953,-97.8837802,30.0002047,3
3251,1371566171,3319391.2146285567,607854.4100854935,-97.8817592,30.000718,3
3252,1371566122,3319241.20220808,608008.2337943546,-97.8801798,29.9993509,3
3253,151484143,3319518.769375001,607978.2408065203,-97.8804626,30.001858,3
3254,1371566209,3319453.8504427643,607915.208312369,-97.8811226,30.0012778,3
3255,151513802,3319585.9148015743,607908.4105102493,-97.8811797,30.00247,3
3256,3582711542,3309417.5399370296,606172.3023716734,-97.9001878,29.9108725,3
3257,6536871374,3309993.812666285,584954.278149493,-98.1199099,29.9177223,3
3258,151484525,3308648.0477384306,587510.0890597343,-98.0935455,29.9053993,3
3259,151533018,3308878.476410993,587578.8583985418,-98.0928144,29.9074737,3
3260,151484558,3330924.1923283353,589430.9953781655,-98.071781,30.106268,3
3261,151484586,3334201.902657883,606771.8636523316,-97.8914929,30.1344471,3
3262,151502241,3334067.5551230586,606774.3536304854,-97.8914806,30.1332347,3
3263,151484685,3320544.3434116594,615129.5317734596,-97.806219,30.01046,3
3264,151485749,3321032.7390163466,614585.0692437864,-97.811811,30.0149177,4
3265,151516952,3320627.629435649,615208.8202081881,-97.805388,30.011204,3
3266,151484832,3328510.508103568,611551.0415969846,-97.8424825,30.0826676,3
3267,151484842,3328536.7370375283,611487.054409814,-97.8431436,30.0829101,4
3268,151506283,3328612.050164494,611582.5339860466,-97.8421451,30.0835809,3
3269,151600607,3328632.55625445,611518.1811381826,-97.8428106,30.0837718,4
3270,151515011,3328438.0135527146,611440.5344141206,-97.8436366,30.0820236,4
3271,151484854,3328584.6217533974,611383.5034209676,-97.8442129,30.0833516,4
3272,151515016,3328486.7947616964,611339.0074579173,-97.8446848,30.082473,4
3273,151484881,3336981.6336723748,582667.6589319961,-98.141499,30.161404,3
3274,151484970,3337116.065464948,582520.7509584795,-98.143014,30.162627,3
3275,151485035,3313598.112579864,603158.3357742134,-97.931001,29.948851,3
3276,151496876,3331525.9331193506,610271.9915530016,-97.855439,30.109991,4
3278,9770007852,3318666.912027938,611528.7762606076,-97.8437453,29.9938537,3
3279,8710532747,3318465.2308077514,611552.6723751858,-97.8435187,29.9920318,4
3280,151485251,3319144.3977010697,612261.5917815916,-97.836099,29.998095,3
3281,151507196,3318993.8984325747,612415.1585547613,-97.834523,29.996723,3
3282,151485257,3319288.2313691135,612400.8779468248,-97.83464,29.99938,4
3283,9770007840,3318924.9704604615,612046.0268360983,-97.8383566,29.9961349,3
3284,10976973109,3319325.575839225,612360.0008598567,-97.8350598,29.9997207,3
3285,151523737,3318974.7665779954,612723.9642709887,-97.831324,29.996522,3
3286,5954441211,3319749.0625632377,613301.1047042189,-97.8252592,30.003455,3
3287,151485416,3327889.478002031,611835.9351365415,-97.8395922,30.0770382,3
3289,151485663,3319757.735009897,610380.2989507539,-97.855537,30.0038,3
3291,2988360184,3319345.0374656725,609777.3848793026,-97.8618297,30.0001305,3
3292,151549004,3319435.523679088,609912.7537354666,-97.8604171,30.0009348,4
3294,151485574,3318633.526713481,609113.1659944272,-97.868788,29.99377,3
3295,151561148,3318276.17803458,609385.6290813822,-97.8660004,29.9905214,3
3297,3253790172,3327517.692734914,613031.8923827757,-97.8272247,30.0735736,3
3298,151485754,3321224.5273246253,614767.9787046901,-97.809894,30.016631,3
3299,11008334578,3321152.675918519,614295.7295129572,-97.8147979,30.0160269,3
3300,151485763,3321356.7870979453,614891.9523732828,-97.8085944,30.0178127,3
3301,151500914,3322545.2951053972,616269.6324132696,-97.794181,30.028406,3
3302,4612407226,3322402.5804118714,616414.1990818856,-97.7926976,30.0271046,3
3303,151500772,3320936.917074191,616923.5646776841,-97.787577,30.013832,3
3304,151485982,3322801.1461091205,617347.6015824492,-97.7829754,30.0306115,3
3305,151486034,3323136.267594668,617661.3548981918,-97.779685,30.033605,3
3306,3809191554,3322752.3325273935,617395.3184697856,-97.782486,30.0301665,3
3307,151486046,3323192.9334317497,617716.1053743481,-97.779111,30.034111,3
3308,151548662,3322853.7591598653,617963.1368910342,-97.776587,30.031027,3
3309,151548624,3323052.600279839,618171.8348481667,-97.7744009,30.0328009,3
3310,151478479,3324085.2543160063,616651.4640031348,-97.790053,30.042264,3
3311,1371566298,3319724.7415459063,607949.4500602244,-97.8807402,30.003719,3
3312,151512253,3332493.0313247093,608553.8870084041,-97.87317,30.118871,3
3313,151512227,3332034.7455076687,608351.824471505,-97.875314,30.114754,3
3314,151486655,3348099.478107848,585940.7081792972,-98.106606,30.261496,3
3315,151486687,3347559.106841906,585762.0490273891,-98.1085071,30.2566328,3
3316,151486818,3325706.8740199483,592116.6558621037,-98.044362,30.058991,3
3317,151493608,3328255.6855049557,612922.9568619552,-97.8282763,30.0802423,3
3318,151486955,3318251.982776365,609604.8402290407,-97.8637307,29.9902835,3
3319,151523872,3318353.115542567,609485.2212856729,-97.8649602,29.9912067,3
3320,151523878,3318193.0945546078,609673.6909340154,-97.8630231,29.989746,3
3321,151487018,3350144.1780556412,589483.8868709716,-98.069603,30.279689,3
3322,151549373,3350328.2502191714,589333.3856343873,-98.071152,30.281361,3
3323,151519016,3345543.4788879384,591037.7292099094,-98.053847,30.238061,3
3324,151488145,3346442.798449578,593243.6508396771,-98.030844,30.246008,4
3325,4086614925,3349838.418131802,593839.6207546934,-98.0243475,30.2766005,3
3326,151517036,3344625.6149109807,594787.1178747024,-98.014967,30.229492,3
3327,151506907,3316061.5207197904,610932.337403518,-97.8501986,29.9703999,3
3328,151488509,3343627.3443734595,577771.4567910848,-98.191852,30.221694,3
3329,151564258,3343987.04069221,576903.3300672998,-98.200846,30.224995,3
3330,151488637,3318069.258761203,590476.2622705235,-98.0620269,29.9901966,3
3331,2087585261,3318224.632675067,590565.6231522701,-98.0610874,29.991592,3
3332,151522837,3338703.588765772,588642.3596029929,-98.079314,30.176521,3
3333,151488993,3326607.8849599506,596684.9585378905,-97.9968934,30.066768,3
3334,151489073,3326644.204991551,597598.0953064956,-97.9874175,30.0670231,3
3335,6539735646,3326781.1223540395,596484.4382180275,-97.9989578,30.068347,3
3336,4197215398,3327742.558353928,596108.628251578,-98.0027694,30.0770518,3
3337,151489384,3308141.3121743435,600923.2413021191,-97.954674,29.899799,3
3338,151551414,3308119.6939934376,600885.8758022175,-97.955063,29.899607,3
3339,151489396,3343790.829396122,597011.9711699078,-97.991926,30.221784,3
3340,151489439,3342816.736398848,597334.9698542769,-97.98866,30.212969,4
3342,151532514,3342711.064060325,597064.2039001114,-97.9914827,30.2120372,3
3343,151532446,3343341.253502703,597579.9866662689,-97.986066,30.217682,3
3344,151489452,3324624.8305000295,612941.7916549868,-97.8284668,30.0474807,3
3345,151492160,3323876.1274502184,612977.6144737512,-97.8281748,30.0407221,3
3346,151489578,3319414.0663587265,613973.9487782047,-97.81832,30.00037,3
3347,151489583,3319623.251317443,614160.86487794,-97.81636,30.00224,4
3348,151506214,3319713.365215568,614065.0119369647,-97.817344,30.003062,3
3349,151592311,3319516.2507432406,614265.6146206738,-97.8152856,30.0012648,4
3350,151550913,3342791.4231886268,575427.5637098419,-98.216266,30.214299,3
3351,151490044,3314905.96005344,608660.517515617,-97.8738595,29.9601768,3
3352,11008716741,3314979.584979867,608729.4901144038,-97.8731373,29.960835,3
3353,151490099,3315610.334514676,609311.0393309864,-97.8670466,29.9664745,3
3354,11008711983,3315357.887395838,609089.7467295092,-97.8693656,29.9642164,3
3355,1371565780,3315753.236482981,609167.2066684819,-97.8685225,29.9677767,3
3357,151490137,3329906.1296116393,611253.0313386541,-97.845428,30.095287,3
3358,151490181,3330080.14782782,611341.8638164457,-97.844488,30.096849,3
3359,151490222,3312551.6515726666,603406.3789427042,-97.9285322,29.9393878,3
3360,151510004,3312501.224827744,602856.298834709,-97.934236,29.938979,3
3361,151534515,3311074.096455981,602639.0189282767,-97.936624,29.92612,3
