Index,SubIndex,ChargerNumber,trainingEVdemand,center,avg_volt
1088,0,8.0,1.85714285714286,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,1,8.0,1.28571428571429,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,2,8.0,2.14285714285714,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,3,8.0,1.85714285714286,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,4,8.0,3.14285714285714,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,5,8.0,2.28571428571429,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,6,8.0,1.14285714285714,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,7,8.0,1.0,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,8,8.0,1.0,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,9,8.0,0.857142857142857,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,10,8.0,0.857142857142857,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,11,8.0,1.0,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,12,8.0,1.14285714285714,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,13,8.0,1.85714285714286,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,14,8.0,2.0,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,15,8.0,1.14285714285714,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,16,8.0,0.571428571428571,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,17,8.0,1.0,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,18,8.0,1.42857142857143,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,19,8.0,1.57142857142857,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,20,8.0,1.0,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,21,8.0,0.714285714285714,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,22,8.0,0.857142857142857,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1088,23,8.0,1.0,"(-10871663.23744816, 3530741.116579087)",1.0342523602844744
1089,0,8.0,2.28571428571429,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,1,8.0,3.14285714285714,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,2,8.0,3.28571428571429,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,3,8.0,2.71428571428571,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,4,8.0,1.85714285714286,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,5,8.0,2.71428571428571,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,6,8.0,3.85714285714286,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,7,8.0,2.57142857142857,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,8,8.0,0.857142857142857,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,9,8.0,1.28571428571429,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,10,8.0,1.28571428571429,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,11,8.0,1.14285714285714,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,12,8.0,0.857142857142857,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,13,8.0,1.85714285714286,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,14,8.0,1.85714285714286,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,15,8.0,2.85714285714286,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,16,8.0,2.28571428571429,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,17,8.0,2.71428571428571,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,18,8.0,2.42857142857143,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,19,8.0,2.85714285714286,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,20,8.0,4.57142857142857,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,21,8.0,3.14285714285714,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,22,8.0,2.85714285714286,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1089,23,8.0,1.57142857142857,"(-10879149.473204007, 3534670.608978566)",1.0255647935057728
1090,0,4.0,0.428571428571429,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,1,4.0,0.714285714285714,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,2,4.0,0.428571428571429,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,3,4.0,0.428571428571429,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,4,4.0,0.857142857142857,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,5,4.0,0.571428571428571,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,6,4.0,0.142857142857143,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,7,4.0,0.142857142857143,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,8,4.0,0.142857142857143,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,9,4.0,0.428571428571429,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,10,4.0,0.571428571428571,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,11,4.0,0.571428571428571,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,12,4.0,0.428571428571429,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,13,4.0,0.714285714285714,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,14,4.0,1.28571428571429,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,15,4.0,0.857142857142857,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,16,4.0,1.14285714285714,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,17,4.0,0.714285714285714,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,18,4.0,1.14285714285714,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,19,4.0,0.857142857142857,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,20,4.0,0.714285714285714,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,21,4.0,0.857142857142857,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,22,4.0,0.285714285714286,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1090,23,4.0,0.714285714285714,"(-10872178.090093078, 3529887.7403503056)",1.0342523602844744
1091,0,2.0,0.571428571428571,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
1091,1,2.0,0.285714285714286,"(-10893328.793343801, 3527955.7799780993)",1.0171915958234041
